cnpj;razao_social;data_autorizacao;prefixo;descricao_linha;tipo_veiculo;sentido;horario;segunda_feira;terca_feira;quarta_feira;quinta_feira;sexta_feira;sabado;domingo;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;05/10/2016;01-0002-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;05/09/2017;01-0002-61;MANAUS(AM) - BOA VISTA(RR);EXECUTIVO;ida;18:30;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;05/09/2017;01-0002-61;MANAUS(AM) - BOA VISTA(RR);EXECUTIVO;volta;19:30;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;20/07/2016;01-0003-00;MANAUS(AM) - BONFIM(RR);CONVEN. C/ SANITÁRIO;ida;18:30;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;20/07/2016;01-0003-00;MANAUS(AM) - BONFIM(RR);CONVEN. C/ SANITÁRIO;volta;16:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;10/05/2017;01-0011-00;APUI(AM) - PORTO VELHO(RO);CONVEN. C/ SANITÁRIO;ida;16:00;x;x;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;10/05/2017;01-0011-00;APUI(AM) - PORTO VELHO(RO);CONVEN. C/ SANITÁRIO;volta;20:00;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;10/10/2020;22-0022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITÁRIO;ida;07:30;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;10/10/2020;22-0022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITÁRIO;ida;09:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;10/10/2020;22-0022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITÁRIO;volta;08:00;x;;x;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;08/07/2016;12-9621-00;GOIANIA(GO) - ARAGUACU(TO);CONVEN. C/ SANITÁRIO;ida;21:00;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;08/07/2016;12-9621-00;GOIANIA(GO) - ARAGUACU(TO);CONVEN. C/ SANITÁRIO;volta;19:45;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;ida;08:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;ida;21:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;volta;07:45;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;volta;19:45;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITÁRIO;ida;19:00;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITÁRIO;volta;19:00;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;19:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;19:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;18/09/2020;01-0000-51;MANAUS(AM) - BOA VISTA(RR);CAMA;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;18/09/2020;01-0000-51;MANAUS(AM) - BOA VISTA(RR);CAMA;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;31/08/2017;01-0000-61;MANAUS(AM) - BOA VISTA(RR);EXECUTIVO;ida;19:00;;x;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;31/08/2017;01-0000-61;MANAUS(AM) - BOA VISTA(RR);EXECUTIVO;volta;19:00;;x;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0329-00;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);CONVEN. C/ SANITÁRIO;ida;20:00;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0329-00;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);CONVEN. C/ SANITÁRIO;volta;21:00;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0329-61;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);EXECUTIVO;ida;20:00;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0329-61;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);EXECUTIVO;volta;21:00;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0330-00;PIRAPETINGA(MG) - NITEROI(RJ);CONVEN. C/ SANITÁRIO;ida;18:21;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0330-00;PIRAPETINGA(MG) - NITEROI(RJ);CONVEN. C/ SANITÁRIO;volta;23:25;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITÁRIO;ida;01:25;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITÁRIO;ida;15:39;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITÁRIO;volta;13:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITÁRIO;volta;21:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;ida;02:55;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;ida;11:10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;volta;06:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;volta;23:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;ida;02:55;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;ida;11:10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;volta;06:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;volta;23:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;03:20;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;21:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0332-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITÁRIO;ida;08:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0332-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITÁRIO;volta;21:15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;03/02/2018;06-0332-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;19:21;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;03/02/2018;06-0332-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;15:10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0336-60;CARANGOLA(MG) - CAMPOS DOS GOYTACAZES(RJ);EXECUTIVO;ida;00:50;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0336-60;CARANGOLA(MG) - CAMPOS DOS GOYTACAZES(RJ);EXECUTIVO;volta;21:30;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0337-00;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;ida;10:16;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0337-00;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;ida;15:11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0337-00;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;volta;11:38;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0337-00;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;volta;16:39;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0337-31;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);SEMI-LEITO;ida;08:11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0337-31;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);SEMI-LEITO;volta;07:08;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;18/12/2019;06-0337-41;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);LEITO COM AR;ida;08:11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;18/12/2019;06-0337-41;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);LEITO COM AR;volta;07:08;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;11/08/2020;06-0337-61;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);EXECUTIVO;ida;17:21;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;11/08/2020;06-0337-61;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);EXECUTIVO;volta;15:08;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0351-00;ALEM PARAIBA(MG) - SAO FIDELIS(RJ);CONVEN. C/ SANITÁRIO;ida;03:30;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;06-0351-00;ALEM PARAIBA(MG) - SAO FIDELIS(RJ);CONVEN. C/ SANITÁRIO;volta;05:15;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;06/07/2016;06-0352-00;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;ida;23:11;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;06/07/2016;06-0352-00;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;volta;21:09;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0352-31;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);SEMI-LEITO;ida;01:01;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0352-31;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);SEMI-LEITO;volta;23:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0352-41;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);LEITO COM AR;ida;01:01;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;19/12/2019;06-0352-41;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);LEITO COM AR;volta;23:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;06/02/2018;06-0352-61;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);EXECUTIVO;ida;23:31;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;06/02/2018;06-0352-61;PIRAPETINGA(MG) - RIO DE JANEIRO(RJ);EXECUTIVO;volta;22:10;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;28/05/2020;06-0439-00;CARATINGA(MG) - CAMPOS DOS GOYTACAZES(RJ);CONVEN. C/ SANITÁRIO;ida;22:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;28/05/2020;06-0439-00;CARATINGA(MG) - CAMPOS DOS GOYTACAZES(RJ);CONVEN. C/ SANITÁRIO;volta;20:50;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0093-00;CABO FRIO(RJ) - SAO PAULO(SP);CONVEN. C/ SANITÁRIO;ida;10:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0093-00;CABO FRIO(RJ) - SAO PAULO(SP);CONVEN. C/ SANITÁRIO;volta;07:20;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0093-31;CABO FRIO(RJ) - SAO PAULO(SP);SEMI-LEITO;ida;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0093-31;CABO FRIO(RJ) - SAO PAULO(SP);SEMI-LEITO;volta;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;07/08/2018;07-0093-51;CABO FRIO(RJ) - SAO PAULO(SP);CAMA;ida;10:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;07/08/2018;07-0093-51;CABO FRIO(RJ) - SAO PAULO(SP);CAMA;ida;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;07/08/2018;07-0093-51;CABO FRIO(RJ) - SAO PAULO(SP);CAMA;volta;07:20;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;07/08/2018;07-0093-51;CABO FRIO(RJ) - SAO PAULO(SP);CAMA;volta;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;06/02/2018;07-0093-61;CABO FRIO(RJ) - SAO PAULO(SP);EXECUTIVO;ida;21:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;06/02/2018;07-0093-61;CABO FRIO(RJ) - SAO PAULO(SP);EXECUTIVO;volta;22:50;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0094-00;NITEROI(RJ) - SAO BERNARDO DO CAMPO(SP);CONVEN. C/ SANITÁRIO;ida;23:00;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0094-00;NITEROI(RJ) - SAO BERNARDO DO CAMPO(SP);CONVEN. C/ SANITÁRIO;volta;21:20;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0095-00;NITEROI(RJ) - SAO PAULO(SP);CONVEN. C/ SANITÁRIO;ida;10:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0095-00;NITEROI(RJ) - SAO PAULO(SP);CONVEN. C/ SANITÁRIO;ida;23:30;x;x;x;x;x;;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAÇÃO 1001 LTDA.;08/07/2016;07-0095-00;NITEROI(RJ) - SAO PAULO(SP);CONVEN. C/ SANITÁRIO;volta;11:15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
